rank,manga_name,autors,chapters_published,status,reading_type
312,Witch Hunter,Cho Jung-man,236,Ongoing,Right to Left
313,Toukyou Kushu,ISHIDA Sui,144,Completed,Right to Left
314,Sekai Saikyou no Kouei: Meikyuukoku no Shinjin Tansakusha,Toowa,34,Ongoing,Right to Left
315,Isekai Shoukan wa Nidome Desu,Kishimoto Kazuha,50e,Ongoing,Right to Left
316,Highschool DxD,ISHIBUMI Ichiei,68,Ongoing,Right to Left
317,Tadashii Kodomo no Tsukurikata!,Morita Marita,68,Ongoing,Right to Left
318,"Maou ni Natta node, Dungeon Tsukutte Jingai Musume to Honobono suru",Ryuuyuu,78b,Ongoing,Right to Left
319,Live Dungeon!,Dy Reito,80,Ongoing,Right to Left
320,Nidome no Jinsei wo Isekai de,Main,49,Ongoing,Right to Left
321,Rosario-Vampire II,Ikeda Akihisa,67,Completed,Right to Left
322,Yamada-kun to 7-nin no Majo,YOSHIKAWA Miki,243,Ongoing,Right to Left
323,"Gate - Jietai Kare no Chi nite, Kaku Tatakeri",Yanai Takumi,141,ON-GOING,Right to Left
324,Cross Account,Date Tsunehiro,28,Ongoing,Right to Left
325,Isekai Kenkokuki,Sakuragi Sakura,72,Ongoing,Right to Left
326,Maou-sama no Machizukuri! ~Saikyou no Danjon wa Kindai Toshi~,Tsukiyo Rui,71,Ongoing,Right to Left
327,Yesterday o Utatte,TOUME Kei,112,Ongoing,Right to Left
328,Kyoukai Meikyuu to Ikai no Majutsushi,Onosaki Eiji,80,Ongoing,Right to Left
329,Nijiiro Days,MIZUNO Minami,57e,Ongoing,Right to Left
330,Zero One Daoist,No Sensei,1,Ongoing,Right to Left
331,Soredemo Sekai wa Utsukushii,SHINA Dai,143f,Ongoing,Right to Left
332,Kaichou wa Maid-sama!,Fujiwara Hiro,85f,Ongoing,Right to Left
333,Beelzebub,"Tamura, Ryuuhei (Story & Art)",240,Ongoing,Right to Left
334,Dagashi Kashi,Kotoyama,186f,Ongoing,Right to Left
335,Dr. Stone Reboot: Byakuya,"Boichi, Inagaki Riichiro",9,Ongoing,Right to Left
