rank,manga_name,autors,chapters_published,status,reading_type
694,Into the Net!,Cao Bao Jin,173,Ongoing,Left to Right
695,"Mochiron, Isharyouseikyuu itashimasu!",Soy,31,Ongoing,Right to Left
696,Kagekuri Kitan,Urakami Yuu,41,Ongoing,Right to Left
697,Isekai Ojisan,???????,66,Ongoing,Right to Left
698,Ginpaku no Paladin - Seikishi,Oka Keisuke,27,Ongoing,Right to Left
699,Dear Sa-chan,Iori Asaga,34,Ongoing,Right to Left
700,Tenkuu no Shiro o Moratta no de Isekai de Tanoshiku Asobitai,Inoue Mitsuru,50,Ongoing,Right to Left
701,Shounen Maid,Ototachibana  (Story & Art),55,Ongoing,Right to Left
702,Hitogatana,Onigunsou (Story & Art),38,Ongoing,Right to Left
703,Ability,Son Jae-ho,60,Ongoing,Left to Right
704,Saike Mata Shite mo,FUKUCHI Tsubasa,141,Ongoing,Right to Left
705,Black Lagoon,"Hiroe, Rei (Story & Art)",119,Ongoing,Right to Left
706,High Score Girl,OSHIKIRI Rensuke,63,Ongoing,Right to Left
707,The Breaker: New Waves,"JEON Geuk-jin (Story), PARK Jin-Hwan (Art)",201e,Ongoing,Left to Right
708,Monster,"Urasawa, Naoki (Story & Art)",162,Completed,Right to Left
709,Nurarihyon No Mago,"Shiibashi, Hiroshi (Story & Art)",210,Completed,Right to Left
710,Goblin Is Very Strong,Salamander,41,Ongoing,Right to Left
711,The Dragon Master,Dobin,39,Ongoing,Right to Left
712,Jumbor,"MIUE Yuma,TAKEI Hiroyuki (Story & Art)",18,Ongoing,Right to Left
713,Tanaka-kun wa Itsumo Kedaruge,UDA Nozomi,142,Ongoing,Right to Left
714,Hatsukoi Wazurai,UMEZAWA Marina,3,Ongoing,Right to Left
715,DragonBall Next Gen,Elyas S,4,Ongoing,Right to Left
716,Kagerou Days,Jin,69,Ongoing,Right to Left
717,Next Life,Aino Jin,50,Ongoing,Right to Left
718,Song of the Long March,XIA Da,62a,Ongoing,Left to Right
719,Blue Phobia,Tsuruyoshi Eri,18,Ongoing,Right to Left
720,Parasite,Suh Woo-Suk,3,Ongoing,Right to Left
721,Manabi Ikiru wa Fuufu no Tsutome,Kosame Daizu,110,Ongoing,Right to Left
722,Level 1 with S-rank Drop Rate is the Strongest,Nazuna Miki,70b,Ongoing,Right to Left
723,Shinrin Ousha Mori King,Tomohiro Hasegawa,35,Completed,Right to Left
724,Tate no Yuusha no Oshinagaki,"Minami Seira, Yusagi Aneko",43e,Ongoing,Right to Left
725,ODDEYE,Kenaz,28,Ongoing,Left to Right
726,Mahouka Koukou no Rettousei - Double Seven Hen,Satou Tsutomu,32,Ongoing,Right to Left
727,Say I love You,"Hazuki, Kanae (Story & Art)",52,Ongoing,Right to Left
728,Asahi Nagu,KOZAKI Ai,61,Ongoing,Right to Left
729,Monochrome Lovers,Hibiki Mio,64,Ongoing,Right to Left
730,Naruto Gaiden: The Seventh Hokage,Kishimoto Masashi,10,Completed,Right to Left
731,Ranma 1/2,TAKAHASHI Rumiko,38,Completed,Right to Left
732,Yu Yu Hakusho,"Togashi, Yoshihiro",175,Completed,Right to Left
733,+Anima,"Mukai, Natsumi",42,Completed,Right to Left
734,Shen Yi Di Nu,Ping Ping Jun Yang Shi Liu,49,Ongoing,Right to Left
735,I Don't Want This Kind of Hero,Samchon,297,Ongoing,Left to Right
736,Yotsubato!,Kiyohiko Azuma (Story & Art),118,Ongoing,Right to Left
737,The Ravages of Time,"Chen, Mou",617,Ongoing,Right to Left
738,Zettai ni Hatarakitakunai Dungeon Master ga Damin wo Musaboru made,ONIKAGE Supana,63,Ongoing,Right to Left
739,#000000 - Ultra Black,KISARAGI Yoshinori,21,Ongoing,Right to Left
740,Real,INOUE Takehiko,98,Ongoing,Right to Left
741,Historie,"Iwaaki, Hitoshi (Story & Art)",124,Ongoing,Right to Left
742,Ballroom e Youkoso,TAKEUCHI Tomo,72,Ongoing,Right to Left
743,Gensou Gourmet,AMANA Kouta,42,Ongoing,Right to Left
744,Imori 201,IMAI Yuu,38,Ongoing,Right to Left
745,Shoukoku no Altair,Katou Kotono,135,Completed,Right to Left
746,L-DK,WATANABE Ayu (Story & Art),96,Ongoing,Right to Left
747,Go! Tenba Cheerleaders,No Sensei,62,Ongoing,Right to Left
748,Dark Gathering,Kondo Kenichi,69,Ongoing,Right to Left
749,Persona 5 Mementos Mission,Rokuro Saito,18,Ongoing,Right to Left
750,BOCCHAN TO MAID,Hisei,43,Ongoing,Manhwa
751,Worst,Takahashi Hiroshi,132,Ongoing,Right to Left
752,Everlasting God of Sword,Meng Bai,247,Ongoing,Right to Left
753,Sora no Otoshimono,"Minazuki, Suu (Story & Art)",77,Completed,Right to Left
754,Isekai ni Tobasareta Ossan wa Doko e Iku?,Ci Garette,69,Ongoing,Right to Left
755,Street Fighter III: Ryu Final,Nakahira Masahiko,1,Ongoing,Right to Left
756,Shirokuma Tensei,Chihiro Mishima,31,Ongoing,Right to Left
757,Bougyaku no Kokekko,Suzaki Yousuke,56,Ongoing,Right to Left
758,Shaman King,Takei Hiroyuki,300f,Completed,Right to Left
759,MF Ghost,Shigeno Shuichi,262,Ongoing,Right to Left
760,Air Gear,Oh! Great,358,Ongoing,Left to Right
761,Eyeshield 21,Inagaki Riichiro,333,Completed,Right to Left
762,I Am My Wife,SF Light Novels,87,Ongoing,Right to Left
763,Uchuu Kyoudai,KOYAMA Chuuya,422,Ongoing,Right to Left
764,"Sayonara, Boku no Goshujin-sama",Takase Roku,Published.,Ongoing,Right to Left
765,Sword Empire,Feng Ma Quan,25,Ongoing,Right to Left
766,The Distinguished Cute Master,Big Demon King Man Hua,44,Ongoing,Right to Left
767,Bokura no Hikari Club,FURUYA Usamaru,12,Ongoing,Right to Left
768,Dungeon ni Deai wo Motomeru no wa Machigatte Iru Darou ka - Familia Chronicle Episode Ryu,Oomori Fujino,21,Ongoing,Right to Left
769,Mahouka Koukou no Rettousei,"HAYASHI Fumino, SATOU Tsutomu",22,Ongoing,Right to Left
770,Rokudenashi Blues,MORITA Masanori,333,Completed,Right to Left
771,Baikoku Kikan,Carlo Zen,17e,Ongoing,Right to Left
772,En Passant,YUZUNOKI Taro (Story & Art),20,Completed,Right to Left
773,Mirai Nikki,ESUNO Sakae,59,Completed,Right to Left
774,Mars,SOURYO Fuyumi,15,Completed,Right to Left
775,Roland Roland,Jayu,149,Ongoing,Right to Left
776,Blood and Steel,Qiao Jingfu,87,Ongoing,Left to Right
777,Penalty School,Miai,12,Ongoing,Right to Left
778,Date a Live,TACHIBANA Koushi,6,Ongoing,Right to Left
779,Toujuushi,KAKIZAKI Masasumi,22,Completed,Right to Left
780,Mad Summer School,Seki Yoshimi,18,C,Right to Left
781,"I""S",No Sensei,143,Completed,Right to Left
782,Ten de Shouwaru Cupid,TOGASHI Yoshihiro,7,Completed,Right to Left
783,Haikyuu-bu!!,Miyajima Kyouhei,94,Ongoing,Right to Left
784,Agravity Boys,Nakamura Atsushi,51a,Ongoing,Right to Left
785,The Girl from Random Chatting,Park Eunhyuk,1,Ongoing,Right to Left
786,Nyan Koi!,"Fujiwara, Sato (Story & Art)",34,Ongoing,Right to Left
787,Kamen Rider Spirits,"Ishinomori, Shotaro (Story), Muraeda, Kenichi (Art)",96,Ongoing,Right to Left
788,Nanatsu no Maken ga Shihai suru,Uno Bokuto,45,Ongoing,Right to Left
789,Sword Art Online - Fairy Dance,Kawahara Reki,5,Ongoing,Right to Left
790,Shounen no Abyss,Minenami Ryou,183,Ongoing,Right to Left
791,Arrogance and Romance,KIM Seol-Hui,174,Ongoing,Left to Right
792,4 Cut Hero,Goriragun,85,Ongoing,Left to Right
793,Break Blade,"Yoshinaga, Yunosuke (Story & Art)",104b,Ongoing,Right to Left
794,Aiura,Chama Uji,107,Ongoing,Right to Left
795,1/3 No Kareshi,Ako Shimaki,0,Completed,Right to Left
796,Mahou Sensei Negima!,"Akamatsu, Ken (Story & Art)",355,Completed,Right to Left
797,Kill la Kill,"Gainax, Nakashima Kazuki, Trigger",17,Ong,Right to Left
798,Greatest Outcast,No Do Hwan,81,Ongoing,Right to Left
799,Another,AYATSUJI Yukito,20,Ongoing,Right to Left
800,Love Strip,Shinjo Mayu,3,Completed,Right to Left
801,Zen Martial Arts Academy,KIM Joon-Hyung,29,Completed,Left to Right
802,"Omoi, Omoware, Furi, Furare",Sakisaka Io,48,Ongoing,Right to Left
803,Asadora!,Urasawa Naoki,37,Ongoing,Right to Left
804,Enen no Shouboutai,Ohkubo Atsushi,1,Ongoing,Right to Left
805,Monku no Tsukeyou ga Nai Rabukome,Suzuki Daisuke,53,Ongoing,Right to Left
806,World Teacher - Isekaishiki Kyouiku Agent,Neko Kouichi,76,Ongoing,Right to Left
807,Tondemo Skill de Isekai Hourou Meshi: Sui no Daibouken,Eguchi Ren,55,Ongoing,Right to Left
808,Masuraou,Sakamoto Shinichi,71,Ongoing,Right to Left
809,Ane Log,TAGUCHI Kenji,90,Ongoing,Right to Left
810,Kono Sekai wa Tsuite iru,You Ibuki,16e,Ongoing,Right to Left
811,Naka no Hito Genome [Jikkyouchuu],Osora,48,Ongoing,Right to Left
812,Saint Oniisan,"Nakamura, Hikaru (Story & Art)",52,Ongoing,Right to Left
813,"Sokushi Cheat ga Saikyou Sugite, Isekai no Yatsura ga Marude Aite ni Naranai n desu ga",Fujitaka Tsuyoshi,52,Ongoing,Right to Left
814,"Maou desu. Onna Yuusha no Hahaoya to Saikon Shita no de, Onna Yuusha ga Giri no Musume ni Narimashita",Morita Kisetsu,53,Ongoing,Right to Left
815,Her Summon,Park Jin Joon,79,Ongoing,Left to Right
816,This Is an Obvious Fraudulent Marriage,"Bak Hedam, Jade",98,Ongoing,Left to Right
817,MAR,"Anzai, Nobuyuki (Story & Art)",161,Completed,Right to Left
818,Ichiba Kurogane wa Kasegitai,GOTOU Masaki,19,Completed,Right to Left
819,B Gata H Kei,SANRI Yoko (Story & Art),108,Ongoing,Right to Left
820,Sword Art Online - Ordinal Scale,Kawahara Reki,17,Ongoing,Right to Left
821,Sugar Sugar Rune,"Anno, Moyoko (Story & Art)",43,Completed,Right to Left
822,Suito-to!,Okino Yui,23,Ongoing,Right to Left
823,Black Haze,Dydyddl7,228,Ongoing,Manhwa
824,Grancrest Senki,Ryou Mizuno,48,Ongoing,Right to Left
825,"Isekai de ""Kuro no Iyashi Te"" tte Yobarete Imasu",Fujima Miya,49,Ongoing,Right to Left
826,Kono Subarashii Sekai ni Nichijou wo!,Akatsuki Natsume,24,Ongoing,Right to Left
827,Freezing,"Im, Dal Young (Story), Kim, Kwang Hyun (Art",225,Ongoing,Left to Right
828,Kyoukai no Rinne,"Takahashi, Rumiko (Story & Art)",398,Ongoing,Right to Left
829,Bakuman,"OHBA Tsugumi (Story), OBATA Takeshi (Art)",176,Completed,Right to Left
830,Suicide Boy,ParkGee,44,Ongoing,Right to Left
831,Fushigi Yuugi Genbu Kaiden,"Watase, Yuu (Story & Art)",40,Completed,Right to Left
832,Hirunaka no Ryuusei,YAMAMORI Mika,78,Ongoing,Right to Left
833,Asoko de Hataraku Musubu-san,Mori Taishi,83,Ongoing,Right to Left
834,Hataraku Maou-sama! High School!,WAGAHARA Satoshi,31,Ongoing,Right to Left
835,Chrome Shelled Regios - Missing Mail,"AMAGI Shuusuke (Story), KIYOSE Nodoka (Art)",17,Ongoing,Right to Left
836,Pandora Hearts,"Mochizuki, Jun (Story & Art)",103,Ongoing,Right to Left
837,Cheese in the Trap,Soon Ki,301,Ongoing,Left to Right
838,Accel World,KAWAHARA Reki,42,Ongoing,Right to Left
839,Jormungand,TAKAHASHI Keitarou,70,Ongoing,Right to Left
840,Mix,ADACHI Mitsuru,145,Ongoing,Right to Left
841,Sun-ken Rock,Boichi (Story & Art),52,Ongoing,Right to Left
842,Kakao 79%,Aoi Umi,241,Ongoing,Right to Left
843,Route End,Nakagawa Kaiji,54,Ongoing,Right to Left
844,Tsubaki-chou Lonely Planet,YAMAMORI Mika,77,Ongoing,Right to Left
845,Yumekui Merry,"Ushiki, Yoshitaka (Story & Art)",141,Ongoing,Right to Left
846,Apocalypse no Toride,KURAISHI Yuu,46,Ongoing,Right to Left
847,Shonan Seven,FUJISAWA Tohru,58,Ongoing,Right to Left
848,Shuumatsu no Laughter,TANABE Yellow,5,Ongoing,Right to Left
849,Ookami Shoujo to Kuro Ouji,HATTA Ayuko,58,Ongoing,Right to Left
850,Golgo 13,SAITO Takao,28,Ongoing,Right to Left
851,Reluctant to Go,????,100,Ongoing,Right to Left
852,Keijo!!!!!!!!,SORAYOMI Daichi,176,Completed,Right to Left
853,"Kekkon Surutte, Hontou desu ka?: 365 Days to the Wedding",Wakaki Tamiki,111,Ongoing,Right to Left
854,My Lvl999 Love for Yamada Kun,Mashiro,108,Ongoing,Right to Left
855,Hina Change,Kajikawa Gaku,23,Ongoing,Right to Left
856,Over Steam,YOON Dong Hyuk,88,Ongoing,Left to Right
857,A-bout!,ICHIKAWA Masa,165e,Ongoing,Right to Left
858,King Golf,SASAKI Takeshi,193,Ongoing,Right to Left
859,Minamoto-Kun Monogatari,Inaba Minori,358,Ongoing,Right to Left
860,Bishoujo Senshi Sailor Moon,"Takeuchi, Naoko (Story & Art)",60f,Completed,Right to Left
861,Isekai Tensei... Saretenee!,Tansan ,31,Ongoing,Right to Left
862,Hoozuki-san Chi no Aneki,IGARASHI Ran (Story & Art),30,Ongoing,Right to Left
863,The Seven Deadly Sins Special,SUZUKI Nakaba,1,Ongoing,Right to Left
864,Saint Seiya - Saintia Shou,KURUMADA Masami,86,Ongoing,Right to Left
865,Silver Spoon,ARAKAWA Hiromu,131,Ongoing,Right to Left
866,Nagatoro-san to Senpai,774 House (774),1,Ongoing,Right to Left
867,Happiness (OSHIMI Shuzo),OSHIMI Shuzo,50,Ongoing,Right to Left
868,Honey come honey,Shiraishi Yuki,38,Ongoing,Right to Left
869,Sekai de Ichiban Warui Majo,Kusakawa Nari,28,Ongoing,Right to Left
870,Majo no Kaigashuu,Hachi,31,Ongoing,Right to Left
871,Zero No Tsukaima,"Mochizuki, Nana , Yamaguchi, Noboru",42,Ongoing,Right to Left
872,Aiki-S,ISUTOSHI,61,Completed,Right to Left
873,Vampire Knight,"Hino, Matsuri",93,Completed,Right to Left
874,090 - Eko To Issho,ASAKURA Maru (Story & Art),61,Ongoing,Right to Left
875,Dengeki Daisy,Motomi Kyousuke,75,Ongoing,Right to Left
876,Terra Formars,SAGUSA Yu,226,Ongoing,Right to Left
877,Desire Climax,Ukyou Ayane,49,Completed,Right to Left
878,Dragon Recipe,Yeop,30,Ongoing,Right to Left
879,Kodomo no Jikan,"Watashiya, Kaworu (Story & Art)",93,Ongoing,Right to Left
880,Sherlock,"Mark Gatiss, Steven Moffat",11,Ongoing,Right to Left
881,Yuugure Light,Usami Maki,23,Ongoing,Right to Left
882,Gekkan Shoujo Nozaki-kun,TSUBAKI Izumi,153g,Ongoing,Right to Left
883,Kurosagi,"Natsuhara, Takeshi (Story), Kuromaru (Art)",152,Ongoing,Right to Left
884,RWBY,"Monty Oum, Rooster Teeth Productions",15,Ongoing,Right to Left
885,Asebi to Sora Sekai no Boukensha,UMEKI Taisuke,59,Ongoing,Right to Left
886,"Ano Ko no, Toriko",SHIRAISHI Yuki,16e,Ongoing,Right to Left
887,S Friend,"Chitose, Piyoko (Story & Art)",2,Ongoing,Right to Left
888,Daites Ryou Koubouki,MAKIHARA Nodoka,36,Ongoing,Right to Left
889,Holyland,"Mori, Kouji (Story & Art)",182,Ongoing,Right to Left
890,3 Gatsu no Lion,"Umino, Chika (Story & Art)",214,Ongoing,Right to Left
891,Pluto,"Urasawa Naoki, Tezuka Osamu",65,Completed,Right to Left
892,K-ON,Kakifly,78,Completed,Right to Left
893,Like a Butterfly,HUN,42,Ongoing,Right to Left
894,"Tensei Kenja no Isekai Raifu ~Daini no Shokugyo wo Ete, Sekai Saikyou ni Narimashita~",Shinkou Shotou,81b,Ongoing,Right to Left
895,Yari no Yuusha no Yarinaoshi,Yusagi Aneko,55,Ongoing,Right to Left
896,Kakushigoto - Secrets,Sumino Yoru,23,Ongoing,Right to Left
897,Nymph Project,????,2,Ongoing,Right to Left
898,Torikago Gakkyuu,MASHIBA Shin,23,Completed,Right to Left
899,Sword Art Online - Alicization,Kawahara Reki,30,Ongoing,Right to Left
900,Koi Inu.,Coco (coco),195,Ongoing,Right to Left
901,Kyou no Cerberus,Sakurai Ato,57,Ongoing,Right to Left
902,Sword Art Online: Progressive,KAWAHARA Reki,41,Ongoing,Right to Left
903,666 Satan,Kishimoto Seishi,76,Completed,Right to Left
904,Magic Kaito,AOYAMA Gosho,38,Ongoing,Right to Left
905,Cosplay Animal,SAKOU Watari (Story & Art),49,Ongoing,Right to Left
906,My Husband is Too Wild,No Sensei,14,Ongoing,Right to Left
907,Blood Alone,"Takano, Masayuki (Story & Art)",48,Ongoing,Right to Left
908,Gantz:G,OKU Hiroya,18,Ongoing,Right to Left
909,Ikemen Sengoku - Tenkabito no Onna ni Naru Ki wa Nai ka,Cybird,16,Completed,Right to Left
910,Psyren,"Toshiaki, Iwashiro (Story & Art)",146,Completed,Right to Left
911,Spice and Wolf,HASEKURA Isuna,35,Ongoing,Right to Left
912,D.Y.N. Freaks,HAGANEYA Jin,12,Ongoing,Right to Left
913,Saint Seiya,"Kurumada, Masami (Story & Art)",19,Ongoing,Left to Right
914,Fukakai na Boku no Subete o,Konayama Kata,27,Ongoing,Right to Left
915,Hyakumanjou Labyrinth,Takamichi,23,Ongoing,Right to Left
916,Ajin-chan wa Kataritai,Petosu,73,Ongoing,Right to Left
917,Kamen Rider W: Fuuto Tantei,Riku Sanjo,29,Ongoing,Right to Left
918,Hanebado!,HAMADA Kousuke,79,Ongoing,Right to Left
919,Amatsuki,"Takayama, Shinobu (Story & Art)",156,Ongoing,Right to Left
920,Blood Rain,Min,77,Ongoing,Manhwa
921,Kitsune no Yomeiri,No Sensei,37,Ongoing,Right to Left
922,A Witch's Printing Office,Mochinichi,37,Ongoing,Right to Left
923,You Are My Lovely Dragon King,San Xian Yi Mian,57,Ongoing,Right to Left
924,Kannou Shousetsuka no Neko,"Takumi, Yuu (Story & Art)",2,Completed,Right to Left
925,Dragon Ball Z - Rebirth of F,TORIYAMA Akira,3,Ongoing,Right to Left
926,Okobore Hime to Entaku no Kishi,ISHIDA Rinne,17,Ongoing,Right to Left
927,Rou Kyu Bu!,AOYAMA Sagu,14,Ongoing,Right to Left
928,Kurogane no Ido,Hideaki,9,Ongoing,Right to Left
929,Tales of the Unusual,Oh Seongdae,377,Ongoing,Left to Right
930,Clover (TETSUHIRO Hirakawa),TETSUHIRO Hirakawa,402,Ongoing,Right to Left
931,Sidooh,"Takahashi, Tsutomu (Story & Art)",266,Ongoing,Right to Left
932,Blade of the Immortal Bakumatsu Arc,"Kenji Takigawa, Ryu Suenobu",10,Ongoing,Right to Left
933,Re:Zero kara Hajimeru Isekai Seikatsu - Daisshou - Outo no Ichinichi Hen,NAGATSUKI Tappei,11,Ongoing,Right to Left
934,Beatiful Legend,No Sensei,4,Ongoing,Right to Left
935,Mysterious Girlfriend X,"Ueshiba, Riichi",84,Ongoing,Right to Left
936,Mei-chan no Shitsugi,"Miyagi, Riko (Story & Art)",69,Ongoing,Right to Left
937,DINER,Hirayama Yumeaki,5,Ongoing,Right to Left
938,Barakamon,YOSHINO Satsuki,145,Completed,Right to Left
939,Katsute Kami Datta Kemonotachi e,Maybe,87,Ongoing,Right to Left
940,Log Horizon - Nishikaze no Ryodan,TOUNO Mamare,65,Ongoing,Right to Left
941,Junjou Romantica,Nakamura Shungiku,87,Ongoing,Right to Left
942,Soul Eater Not!,OOKUBO Atsushi,31,Ongoing,Right to Left
943,The Emperor Hopes for the Court Lady as His Bride,SATSUKI Kanata,18,Ongoing,Right to Left
944,Okitenemuru,RENDA Hitori,70,Ongoing,Right to Left
945,Yoi no Yomeiri,Nanao Mio,24,Ongoing,Right to Left
946,Onihime VS,"Im, Dal Young (Story), Lee, Soo Hyun (Art)",26,Ongoing,Left to Right
947,Joou no Hana,IZUMI Kaneyoshi,42b,Ongoing,Right to Left
948,Gyo,ITOU Junji,20,Completed,Right to Left
949,Short Cake Cake,Morishita Suu,54,Ongoing,Right to Left
950,Akuyaku Reijou wa Ringoku no Outaishi ni Dekiai sareru,Puni-chan,28,Ongoing,Right to Left
951,The Devil King Is Bored,KIM Sang Min,71,Ongoing,Left to Right
952,Majo-senpai Nichijou,"Mochida Maka,",75e,Ongoing,Right to Left
953,Fairy Tail Gaiden - Road Knight,MASHIMA Hiro,18,Ongoing,Right to Left
954,Buster Keel,No Sensei,37,Ongoing,Right to Left
955,Devil Summoner: Kuzuha Raidou Tai Kodoku no Marebito,"Atlus, RA-SEN",35,Ongoing,Right to Left
956,Isekai desu ga Mamono Saibai shiteimasu.,Setsugekka,35,Ongoing,Right to Left
957,Ichigo no Haitta Soda-sui,Arai Cherry,67,Ongoing,Right to Left
958,Knight Run,Kim Sung Min,313,Ongoing,Left to Right
959,Hinamatsuri,OHTAKE Masao,100,Ongoing,Right to Left
960,Sword Art Online,KAWAHARA Reki,12,Ongoing,Right to Left
961,Gangsta,Kosuke,56,Ongoing,Right to Left
962,King of Hell,Ra In-Soo,372,Ongoing,Left to Right
963,Capeta,SODA Masahito,117,Ongoing,Right to Left
964,Neko to Watashi no Kinyoubi,TANEMURA Arina,28,Ongoing,Right to Left
965,Innocent (SAKAMOTO Shinichi),SAKAMOTO Shinichi,Published.,Ongoing,Right to Left
966,Kakegurui Midari,Hiiragi Yuuichi,59,Ongoing,Right to Left
967,Fate-Stay Night,"TYPE-MOON, Nasu, Kinoko",65,Ongoing,Right to Left
968,Akuyaku Ouji wa Koi ga Dekinai,Yoneda Kazusa,11e,Ongoing,Right to Left
969,Kakegurui Futago,Kawamoto Homura,80,Ongoing,Right to Left
970,Acma:Game,"Mebu, Meeb",76,Ongoing,Right to Left
971,Legend of Immortals,Jiong Biao,39,Ongoing,Left to Right
972,Pii Natsu ga Ippai,YACHI Emiko (Story & Art),34,Ongoing,Right to Left
973,K - The First,"FURUHASHI Hideyuki, GoHands, GoRA",16,Ongoing,Right to Left
974,Yomogi Mochi Yaketa,"Arai, Kiyoko  (Story & Art)",15,Ongoing,Right to Left
975,GANGSTA:CURSED,Kohsuke,2,Ongoing,Right to Left
976,Bobobo-Bo bo-bobo,"Sawai, Yoshio (Story & Art)",229,Ongoing,Right to Left
977,Hungry Joker,"Tabata, Yuuki",24,Ongoing,Right to Left
978,Amagi Brilliant Park,GATOU Shouji,26,Ongoing,Right to Left
979,Dororo,"Tezuka, Osamu (Story & Art)",3,Completed,Right to Left
980,sekai ni Kita Mitai dakedo Ikanisureba Yoi no Darou,Mai,6,Ongoing,Right to Left
981,Ake no Tobari,MOMO Chidori,326,Ongoing,Right to Left
982,Cage Of Eden,YAMADA Yoshinobu,185,Completed,Right to Left
983,Peach Boy Riverside,COOL Kyoushinsha,70,Ongoing,Right to Left
984,Tora Dora,"Takemiya, Yuyuko (Story)",97e,Ongoing,Right to Left
985,Gakusen Toshi Asterisk,MIYAZAKI Yuu,20,Ongoing,Right to Left
986,The Seven Deadly Sins Side Story,SUZUKI Nakaba,8,Ongoing,Right to Left
987,Shuuen no Shiori,Suzumu,33,Ongoing,Right to Left
988,Yukoku no Moriarty,Takeuchi Ryousuke,80,Ongoing,Right to Left
989,Captain Tsubasa - World Youth,Takahashi Yoichi,64,Completed,Right to Left
990,Yu-Gi-Oh!,"Takahashi, Kazuki",53,Completed,Right to Left
991,Undine of the Desert World,Misu Shinya,30,Ongoing,Right to Left
992,Fairy Tail Zero,MASHIMA Hiro,13,Ongoing,Right to Left
993,"I’ll Make You into an Otaku, so Make Me into a Riajuu!",MURAKAMI Rin,36,Ongoing,Right to Left
994,Denpa Kyoushi,AZUMA Takeshi,153,Ongoing,Right to Left
995,Re:Birth 2 - The Life Taker,LIM Dall-Young,14,Ongoing,Right to Left
996,Osu!! Karatebu,TAKAHASHI Kouji,237,Completed,Right to Left
997,20th Century Boys,Urasawa Naoki,242,Completed,Right to Left
998,Yane Urabeya no Koushaku Fujin,Mori,29,Ongoing,Right to Left
999,Plinius,Yamazaki Mari,59,Ongoing,Right to Left
1000,Tenju no Kuni,Izumi Ichimon,21,Ongoing,Right to Left
1001,Goraihou Gakuen e Youkoso!,"Kakizaki, Muku (Story & Art)",28,Ongoing,Right to Left
1002,"Buta Koushaku ni Tensei Shitakara, Kondo wa Kimi ni Suki to Iitai",Aida Rhythm,46,Ongoing,Right to Left
1003,Mikami-san wo Furimukasetai,Nishizawa 5miri,1,Ongoing,Right to Left
1004,Infinite Stratos,YUMIJI Izuru,26,Completed,Right to Left
1005,Umi no Cradle,Nagano Mei,23,Ongoing,Right to Left
1006,Ladies Vs Butlers,"KOUZUKI Tsukasa (Stoty), NEKOMARU Nekoyashiki (Art)",10a,Ongoing,Right to Left
1007,Majo no Geboku to Maou no Tsuno,Mochi,93,Ongoing,Right to Left
1008,Kawaii Akuma,"Madarame, Hiro (Story & Art)",6,Ongoing,Right to Left
1009,Dungeon ni Deai o Motomeru no wa Machigatte Iru Darou ka 2,Oomori Fujino,40,Ongoing,Right to Left
1010,"Owari no Seraph: Ichinose Guren, 16-sai no Catastrophe",Kagami Takaya,51,Ongoing,Right to Left
1011,100-man no Inochi no Ue ni Ore wa Tatte Iru,Yamakawa Naoki,106,Ongoing,Right to Left
1012,Junjou Drop,NAKAHARA Aya,4,Completed,Right to Left
1013,"Inari, Konkon, Koi Iroha",YOSHIDA Morohe,46,Ongoing,Right to Left
1014,Densetsu no Yuusha no Densetsu,KAGAMI Takaya,18,Completed,Right to Left
1015,Seishun Buta Yaro wa Petit Devil Kouhai no Yume wo Minai,Kamoshida Hajime,12,Ongoing,Right to Left
1016,Tiara,LEE Yun-Hee,97,Ongoing,Left to Right
1017,VS EVIL,Takashi Yomoyama,30,Ongoing,Right to Left
1018,Dokgo 2,Min,72,Ongoing,Left to Right
1019,Sakamoto desu ga?,SANO Nami,24,Ongoing,Right to Left
1020,Omujo! Omutsu Joshi,Tsuttsu,28,Ongoing,Right to Left
1021,Saikyou Mahoushi no Inton Keikaku,Miyuki Ruria,41,Ongoing,Right to Left
1022,Acchi Kocchi,ISHIKI (Story & Art),74,Ongoing,Right to Left
1023,Grainerie,TAKARAI Rihito,51,Ongoing,Right to Left
1024,Dead Dead Demon's Dededededestruction,Asano Inio,100,Ongoing,Right to Left
1025,Hoshizora no Karasu,MORIE Satoshi,51,Ongoing,Right to Left
1026,Kare First Love,"Miyasaka, Kaho (Story & Art)",58,Completed,Right to Left
1027,The Seven Deadly Sins Seven Days,Suzuki Nakaba	,7,Ongoing,Right to Left
1028,Bitter Virgin,Kusunoki Kei,32,Completed,Right to Left
1029,Assassins Pride,Katou Yoshie,49,Ongoing,Right to Left
1030,Ubel Blatt,"Shiono, Etorouji",170,Ongoing,Right to Left
1031,It's My Life,Narita Imomushi,56,Ongoing,Right to Left
1032,Seigai no Majo,TANAKA Hosana,2,Ongoing,Right to Left
1033,Fairy Tail Special,MASHIMA Hiro,3,Ongoing,Right to Left
1034,Kanata Kara,HIKAWA Kyouko,14,Completed,Right to Left
1035,1/3 Romantica,SHIBANO Yuka,5,Completed,Right to Left
1036,Ookami no Kuchi: Wolfsmund,KUJI Mitsuhisa,22,Ongoing,Right to Left
1037,No Game No Life,KAMIYA Yuu,20,Ongoing,Right to Left
1038,Miseinen dakedo Kodomo ja Nai,MINAMI Kanan,27,Ongoing,Right to Left
1039,Deathtopia,YAMADA Yoshinobu,23,Ongoing,Right to Left
1040,Aku no Kyouten,KISHI Yuusuke,34,Ongoing,Right to Left
1041,Pokemon Adventures,No Sensei,430,Ongoing,Right to Left
